area_type,availability,location,size,bhk,total_sqft,bath,balcony,price,
Built-up  Area,Ready To Move,Ramagondanahalli,4 BHK,4,"2,800.00",4,3,155,
Super built-up  Area,19-Jun,Hebbal,4 BHK,4,"2,790.00",4,3,198,
Built-up  Area,Ready To Move,Ambalipura,3 BHK,3,"3,500.00",3,0,198,
Built-up  Area,Ready To Move,Ramamurthy Nagar,3 Bedroom,3,"3,600.00",3,2,150,
Built-up  Area,Ready To Move,Sarjapur,2 BHK,2,"1,500.00",2,2,30,
Plot  Area,Ready To Move,Meenakshi Layout,8 Bedroom,8,"1,200.00",7,0,220,
Super built-up  Area,Ready To Move,S R Layout,2 BHK,2,"1,096.00",2,2,48,
Built-up  Area,Ready To Move,Cholanayakanahalli,2 Bedroom,2,580.00,2,0,95,
Super built-up  Area,Ready To Move,GD Layout,2 BHK,2,"1,094.00",2,1,44,
Super built-up  Area,Ready To Move,Vittal Nagar,2 BHK,2,"1,100.00",2,2,49,
Super built-up  Area,Ready To Move,Iblur Village,4 BHK,4,"2,987.50",5,0,191,
Super built-up  Area,19-Sep,Koramangala,4 BHK,4,"2,503.00",6,2,325,
Super built-up  Area,Ready To Move,Nagarbhavi,2 BHK,2,"1,145.00",2,2,40,
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,3,"1,550.00",3,2,74.5,
Super built-up  Area,Ready To Move,Seegehalli,3 BHK,3,"1,830.00",4,2,82,
Super built-up  Area,19-Dec,Hoodi,3 BHK,3,"1,746.00",3,3,84.95,
Built-up  Area,Ready To Move,Maruthi Sevanagar,4 Bedroom,4,"1,280.00",4,1,115,
Super built-up  Area,20-Aug,Kengeri,2 BHK,2,918.00,2,1,27.54,
Super built-up  Area,18-Jul,Chandapura,1 BHK,1,645.00,1,1,16.45,
Super built-up  Area,Ready To Move,Banashankari Stage III,3 BHK,3,"1,305.00",2,1,60,
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,2,"1,207.00",2,2,62,
Built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,678.00",3,2,125,
Super built-up  Area,Ready To Move,Kaggalipura,2 BHK,2,950.00,2,1,50,
Plot  Area,Ready To Move,Munnekollal,10 Bedroom,1,"1,200.00",7,0,240,
Super built-up  Area,18-Feb,Electronic City,2 BHK,2,"1,070.00",2,1,55,
Super built-up  Area,Ready To Move,Ardendale,3 BHK,3,"1,732.46",3,2,92,
Super built-up  Area,Ready To Move,Attibele,3 BHK,3,"1,639.00",2,1,40.98,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,360.00",2,1,103,
Plot  Area,Ready To Move,Malleshpalya,4 Bedroom,4,"2,592.00",4,2,250,
Plot  Area,Ready To Move,RMV 2nd Stage,3 Bedroom,3,"4,470.00",3,0,700,
Plot  Area,Ready To Move,Kithaganur,5 Bedroom,5,720.00,4,3,62,
Super built-up  Area,Ready To Move,Lakshminarayana Pura,3 BHK,3,"1,656.00",3,2,150,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,985.00,2,1,49,
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,3,"1,999.00",3,2,135,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,050.00",2,1,75,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"1,440.00",2,2,64,
Super built-up  Area,Ready To Move,Basavangudi,3 BHK,3,"1,600.00",2,2,160,
Super built-up  Area,17-Nov,Ramagondanahalli,2 BHK,2,"1,253.00",2,1,52.66,
Plot  Area,Ready To Move,Shirdi Sai Nagar,3 Bedroom,3,"1,200.00",3,0,85,
Super built-up  Area,Ready To Move,Padmanabhanagar,3 BHK,3,"1,360.00",2,3,75,
Super built-up  Area,Ready To Move,Hagadur,2 BHK,2,"1,086.00",2,1,47.5,
Super built-up  Area,Ready To Move,Wilson Garden,3 BHK,3,"1,655.00",3,2,155,
Plot  Area,17-Feb,Old Madras Road,4 Bedroom,4,"2,600.00",4,0,260,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,418.00",2,2,78,
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,2,"1,270.00",2,2,100,
Super built-up  Area,Ready To Move,Begur Road,3 BHK,3,"1,410.00",2,3,52.17,
Super built-up  Area,19-Jan,"JP Nagar 7th Phase, ",2 BHK,2,"1,150.00",2,1,74,
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,2,600.00,3,2,45,
Built-up  Area,Ready To Move,Raghuvanahalli,3 BHK,3,"1,440.00",3,2,65.8,
Plot  Area,Ready To Move,J C Nagar,3 Bedroom,3,"1,200.00",2,0,108,
Super built-up  Area,Ready To Move,Sadduguntepalya,2 BHK,2,"1,200.00",2,2,75,
Super built-up  Area,Ready To Move,Begur Road,3 BHK,3,"1,410.00",2,3,50.06,
Plot  Area,Ready To Move,Chandapura,4 Bedroom,4,"1,200.00",5,2,92,
Plot  Area,Ready To Move,Jalahalli,3 Bedroom,3,600.00,3,2,60,
Built-up  Area,18-Dec,Whitefield,1 BHK,1,624.00,1,1,35,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,060.00",2,1,58,
Super built-up  Area,20-Dec,Hebbal,4 BHK,4,"3,960.00",5,3,386,
Plot  Area,18-Aug,Whitefield,2 Bedroom,2,"1,200.00",2,1,45,
Plot  Area,Ready To Move,Vidyaranyapura,4 Bedroom,4,"1,200.00",4,2,175,
Built-up  Area,Ready To Move,Sarjapur,4 BHK,4,"1,917.00",3,0,60,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,950.00,2,1,40,
Plot  Area,18-Dec,Channasandra,2 Bedroom,2,"3,040.00",2,1,48,
Super built-up  Area,18-May,BTM 2nd Stage,3 BHK,3,"1,250.00",3,1,50,
Super built-up  Area,Ready To Move,Vishwapriya Layout,2 BHK,2,"1,235.00",2,2,60,
Super built-up  Area,Ready To Move,Budigere,1 BHK,1,722.00,1,0,46,
Plot  Area,Ready To Move,Kanakpura Road,4 Bedroom,4,"2,775.00",3,1,165,
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,200.00",2,1,93,
Built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,3,"1,400.00",3,0,68,
Built-up  Area,Ready To Move,Mallathahalli,3 BHK,3,"1,225.00",3,3,60,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,220.00",2,1,58.5,
Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,1,705.00,1,1,52.5,
Super built-up  Area,Ready To Move,Battarahalli,3 BHK,3,"1,880.00",3,2,94.36,
Plot  Area,Ready To Move,Yelahanka,2 Bedroom,2,"1,200.00",2,1,70,
Built-up  Area,Ready To Move,Doddakammanahalli,3 BHK,3,"1,550.00",2,1,60,
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,3,"1,893.00",3,1,130,
Super built-up  Area,Ready To Move,HMT Layout,3 BHK,3,"1,650.00",3,2,75,
Built-up  Area,Ready To Move,Chikkathoguru,2 BHK,2,"1,113.00",2,2,46,
Plot  Area,Ready To Move,BEL Road,2 Bedroom,2,"1,500.00",2,0,203,
Plot  Area,Ready To Move,Kamakshipalya,9 Bedroom,9,"1,800.00",9,1,180,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,586.00",3,3,70,
Plot  Area,Ready To Move,Seegehalli,3 Bedroom,3,"4,000.00",3,1,235,
Super built-up  Area,Ready To Move,Yelahanka New Town,3 BHK,3,"1,541.00",3,3,80,
Super built-up  Area,18-Dec,Haralur Road,3 BHK,3,"1,830.00",3,2,101,
Super built-up  Area,Ready To Move,Kodigehalli,2 BHK,2,"1,200.00",2,2,48,
Plot  Area,Ready To Move,Bidrahalli,3 Bedroom,3,"1,800.00",2,0,72,
Super built-up  Area,18-Jun,Bommasandra,2 BHK,2,"1,015.00",2,1,40,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,120.00",2,2,37.95,
Super built-up  Area,21-Dec,Hoodi,1 BHK,1,706.00,1,1,48.24,
Plot  Area,Ready To Move,Medi Agrahara,4 Bedroom,4,"1,350.00",4,2,85,
Plot  Area,Ready To Move,Kumaraswami Layout,6 Bedroom,6,610.00,4,0,95,
Plot  Area,Ready To Move,Kanakpura Road,3 Bedroom,3,"1,900.00",3,1,99,
Plot  Area,Ready To Move,Harlur,4 Bedroom,4,"1,200.00",4,0,243,
Built-up  Area,Ready To Move,Seegehalli,4 BHK,4,"3,000.00",5,3,150,
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3,"1,075.00",2,1,42,
Super built-up  Area,19-Jul,Kanakpura Road,2 BHK,2,"1,290.00",2,3,80,
Super built-up  Area,Ready To Move,Akshaya Nagar,2 BHK,2,"1,200.00",2,1,50,
Built-up  Area,Ready To Move,Hormavu,2 BHK,2,"1,150.00",2,1,53.11,
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,3,"1,360.00",2,3,61.2,
Carpet  Area,Ready To Move,4th Block Koramangala,9 BHK,9,"4,500.00",9,0,500,
Super built-up  Area,20-Dec,whitefiled,2 BHK,2,935.00,2,1,32.73,
Super built-up  Area,Ready To Move,Cox Town,3 BHK,3,"1,730.00",3,3,140,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,260.00",2,2,53,
Built-up  Area,Ready To Move,Banagiri Nagar,6 Bedroom,6,675.00,6,2,125,
Plot  Area,Ready To Move,Marathahalli,4 Bedroom,4,"4,000.00",4,1,650,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,950.00,2,1,45.68,
Plot  Area,Ready To Move,Subbannaiah Palya,2 Bedroom,2,600.00,3,2,85,
Built-up  Area,Ready To Move,Vadarpalya,5 Bedroom,5,"2,500.00",5,2,120,
Super built-up  Area,17-May,Hegde Nagar,4 BHK,4,"3,216.00",5,2,300,
Plot  Area,Ready To Move,N R Layout,6 Bedroom,6,800.00,3,2,120,
Super built-up  Area,Ready To Move,Budigere,3 BHK,3,"1,991.00",4,2,88,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,115.00",2,1,60,
Super built-up  Area,Ready To Move,Koramangala,3 BHK,3,"1,900.00",3,3,150,
Super built-up  Area,18-May,Whitefield,2 BHK,2,"1,109.00",2,1,41.49,
Super built-up  Area,Ready To Move,Rajiv Nagar,4 BHK,4,"2,340.00",5,1,129,
Plot  Area,Ready To Move,Judicial Layout,6 Bedroom,6,"1,200.00",6,2,300,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"4,356.00",5,1,850,
Super built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,2,"1,005.00",2,1,43,
Super built-up  Area,19-Aug,Kengeri,1 BHK,1,416.00,1,1,19.5,
Super built-up  Area,Ready To Move,1st Phase JP Nagar,2 BHK,2,"1,394.00",2,1,100,
Super built-up  Area,Ready To Move,Harlur,3 BHK,3,"2,138.00",3,2,110,
Built-up  Area,Ready To Move,Richards Town,3 BHK,3,"1,550.00",3,2,160,
Super built-up  Area,Ready To Move,Nagavarapalya,3 BHK,3,"1,300.00",3,1,80,
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,2,"1,265.00",2,2,82,
Built-up  Area,Ready To Move,Manorayana Palya,2 BHK,2,"1,140.00",2,2,52,
Carpet  Area,Ready To Move,BCC Layout,2 BHK,2,"1,050.00",2,3,40,
Built-up  Area,Ready To Move,Thanisandra,2 BHK,2,"1,100.00",2,1,48,
Super built-up  Area,18-May,Varthur,2 BHK,2,"1,012.00",2,1,59,
Plot  Area,18-May,Varthur,4 Bedroom,4,"1,600.00",4,3,112,
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,2,"1,326.00",2,2,57,
Built-up  Area,Ready To Move,Hebbal Kempapura,3 BHK,3,"1,654.00",2,3,85,
Plot  Area,Ready To Move,Jeevan bima nagar,3 Bedroom,3,"1,705.00",2,1,290,
Super built-up  Area,Ready To Move,Chikkalasandra,2 BHK,2,"1,070.00",2,1,42.8,
Super built-up  Area,Ready To Move,Whitefield,3 BHK,3,"1,700.00",3,2,95,
Carpet  Area,18-Dec,Bhoganhalli,2 BHK,2,910.20,2,1,80.64,
Super built-up  Area,Ready To Move,Kogilu,2 BHK,2,"1,140.00",2,2,50.66,
Plot  Area,Ready To Move,Whitefield,4 Bedroom,4,"4,960.00",4,3,400,
Super built-up  Area,18-Aug,Talaghattapura,3 BHK,3,"2,254.00",3,2,170,
Super built-up  Area,22-Mar,Kanakapura,2 BHK,2,945.00,2,1,47,
Super built-up  Area,19-Aug,Begur Road,4 BHK,4,"2,462.00",6,2,150,
Plot  Area,Ready To Move,Giri Nagar,3 Bedroom,3,"1,350.00",3,0,240,
Super built-up  Area,19-Dec,Marathahalli,1 BHK,1,615.00,1,1,44,
Plot  Area,Ready To Move,Ramamurthy Nagar,2 Bedroom,2,"1,110.00",2,0,65,
Super built-up  Area,18-Mar,Haralur Road,1 BHK,1,575.00,1,1,88,
Super built-up  Area,18-Jul,Electronic City,2 BHK,2,"1,025.00",2,1,54.1,
Built-up  Area,Ready To Move,Vinayak Nagar,3 BHK,3,"1,758.00",3,2,95,
Super built-up  Area,18-Dec,Gopalapura,4 BHK,4,"3,179.00",5,3,351,
Super built-up  Area,Ready To Move,Kaikondrahalli,3 BHK,3,"1,342.00",3,3,92,
Super built-up  Area,Ready To Move,Kalyan nagar,3 BHK,3,"1,800.00",3,2,85,
Built-up  Area,18-Feb,Whitefield,4 BHK,4,"2,928.00",4,3,198,
Built-up  Area,Ready To Move,Doddathoguru,2 BHK,2,"1,140.00",2,3,32,
Super built-up  Area,18-Jul,Raja Rajeshwari Nagar,2 BHK,2,"1,608.00",2,2,85,
Super built-up  Area,Ready To Move,Kadugodi,3 BHK,3,"1,645.00",2,2,82,
Super built-up  Area,18-Dec,Ramamurthy Nagar,3 BHK,3,"1,410.00",2,1,56.4,
Super built-up  Area,Ready To Move,Harlur,2 BHK,2,"1,200.00",2,2,52,
Super built-up  Area,18-Jun,8th Phase JP Nagar,3 BHK,3,"1,275.00",2,2,41.5,
Built-up  Area,Ready To Move,Dodda Nekkundi,4 Bedroom,4,"3,800.00",4,2,600,
Super built-up  Area,Ready To Move,Kada Agrahara,3 BHK,3,909.00,2,1,40,
Built-up  Area,Ready To Move,Basavanapura,2 Bedroom,2,"1,200.00",3,0,85,
Super built-up  Area,Ready To Move,Kalyan nagar,2 BHK,2,"1,080.00",2,2,73,
Plot  Area,Ready To Move,Madanayakahalli,2 Bedroom,2,"1,200.00",2,1,34,
Super built-up  Area,18-May,Akshaya Nagar,2 BHK,2,"1,092.00",2,1,60,
Super built-up  Area,Ready To Move,Jalahalli,3 BHK,3,"1,932.00",4,3,135,
Super built-up  Area,Ready To Move,KR Puram,2 BHK,2,"1,156.00",2,1,72,
Super built-up  Area,Ready To Move,Bellandur,2 BHK,2,924.00,2,2,35.11,
Super built-up  Area,Ready To Move,Thubarahalli,2 BHK,2,"1,330.00",2,1,75,
Super built-up  Area,18-Apr,Thanisandra,3 BHK,3,"1,917.00",4,2,113,
Super built-up  Area,18-Sep,Chandapura,2 BHK,2,985.00,2,1,25.12,
Plot  Area,Ready To Move,Mahalakshmi Puram,6 Bedroom,6,"2,400.00",6,2,408,
Plot  Area,Ready To Move,Richmond Town,4 Bedroom,4,"1,800.00",5,2,500,
Plot  Area,Ready To Move,Mahalakshmi Puram,2 Bedroom,2,"1,290.00",1,0,225,
Super built-up  Area,19-Jun,Kodigehalli,1 BHK,1,655.00,1,1,53,
Built-up  Area,Ready To Move,4th Block Koramangala,3 BHK,3,"1,800.00",3,3,140,
Built-up  Area,Ready To Move,Margondanahalli,4 Bedroom,4,"1,360.00",2,2,45,
Super built-up  Area,Ready To Move,Bellandur,3 BHK,3,"1,785.00",3,3,118,
Super built-up  Area,Ready To Move,Kadugodi,7 BHK,7,"4,000.00",7,2,130,
Super built-up  Area,19-Jun,Hebbal,3 BHK,3,"1,645.00",3,2,120,
Super built-up  Area,Ready To Move,Gottigere,2 BHK,2,"1,235.00",2,2,63,
Plot  Area,Ready To Move,Anandapura,2 Bedroom,2,900.00,2,0,48,
Super built-up  Area,Ready To Move,Thanisandra,1 BHK,1,662.00,1,1,42,
Plot  Area,Ready To Move,TC Palaya,5 Bedroom,5,"1,440.00",5,1,100,
Super built-up  Area,18-Dec,Whitefield,2 BHK,2,"1,215.00",2,1,62,
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,2,845.00,2,1,37,
Super built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,525.00",2,2,87,
Built-up  Area,Ready To Move,Jaladarsini Layout,2 BHK,2,"1,000.00",2,2,48,
Super built-up  Area,19-Dec,Hebbal,3 BHK,3,"1,255.00",2,1,90,
Super built-up  Area,Ready To Move,Mysore Road,3 BHK,3,"1,560.00",3,2,120,
Built-up  Area,Ready To Move,Kasavanhalli,3 Bedroom,3,"2,100.00",3,3,110,
Super built-up  Area,Ready To Move,Kodichikkanahalli,3 BHK,3,"1,620.00",2,2,85,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,595.00",3,2,90,
Super built-up  Area,18-May,Basavanapura,2 BHK,2,"1,095.00",2,2,38.52,
Built-up  Area,Ready To Move,9th Phase JP Nagar,2 BHK,2,835.00,2,0,37,
Super built-up  Area,18-Oct,Hennur Road,3 BHK,3,"2,182.00",3,2,72.04,
Super built-up  Area,Ready To Move,Thigalarapalya,2 BHK,2,"1,418.00",2,2,106,
Super built-up  Area,18-Apr,Sanjay nagar,3 BHK,3,"1,900.00",2,2,180,
Super built-up  Area,20-Sep,Whitefield,3 BHK,3,"2,700.00",5,2,175,
Super built-up  Area,Ready To Move,BTM 2nd Stage,2 BHK,2,"1,070.00",2,1,48,
Plot  Area,Ready To Move,Ramamurthy Nagar,9 Bedroom,9,"2,000.00",9,2,150,
Plot  Area,Ready To Move,Munnekollal,43 Bedroom,4,"2,400.00",40,0,660,
Super built-up  Area,18-Dec,Electronics City Phase 1,1 BHK,1,755.00,1,1,42.41,
Super built-up  Area,19-Mar,Hebbal,3 BHK,3,"1,645.00",3,2,117,
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,3,"2,400.00",3,2,190,
Super built-up  Area,18-Jul,Chandapura,1 BHK,1,645.00,1,1,16.45,
Built-up  Area,19-Mar,4th T block Jayanagar,4 BHK,4,"3,900.00",4,0,333,
Plot  Area,Ready To Move,Attur Layout,3 Bedroom,3,"2,400.00",4,2,200,
Plot  Area,Ready To Move,1st Block HRBR Layout,10 Bedroom,1,"2,416.00",10,0,600,
Built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,2,919.00,2,0,28,
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,3,"1,725.00",3,0,110,
Super built-up  Area,18-Apr,Sarjapur  Road,2 BHK,2,"1,346.00",2,1,71.32,
Built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,2,"1,070.00",2,2,45,
Super built-up  Area,Ready To Move,Begur Road,2 BHK,2,"1,225.00",2,1,35.52,
Plot  Area,Ready To Move,Sarakki Nagar,6 Bedroom,6,880.00,6,2,75,
Built-up  Area,Ready To Move,Neeladri Nagar,1 BHK,1,640.00,1,1,20.5,
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,3,"1,310.00",2,1,52.4,
Super built-up  Area,Ready To Move,Kanakapura,2 BHK,2,"1,190.00",2,2,39,
Super built-up  Area,Ready To Move,Basavanna Nagar,3 BHK,3,"1,645.00",3,2,87.5,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,350.00",2,1,89,
Super built-up  Area,Ready To Move,Vittasandra,2 BHK,2,"1,404.00",2,1,68.8,
Super built-up  Area,18-Apr,Electronic City,3 BHK,3,"1,105.00",2,1,35,
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,2,900.00,2,1,41,
Plot  Area,Ready To Move,A Narayanapura,4 Bedroom,4,"1,650.00",4,3,320,
Super built-up  Area,Ready To Move,Dodda Nekkundi,2 BHK,2,"1,100.00",2,1,41.15,
Built-up  Area,Ready To Move,Thanisandra,4 Bedroom,4,"2,100.00",4,1,95,
Super built-up  Area,18-May,Thanisandra,3 BHK,3,"1,948.00",3,2,130,
Super built-up  Area,Ready To Move,Singasandra,3 BHK,3,"1,464.00",3,2,56,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,210.00",2,2,45,
Built-up  Area,Ready To Move,Yelahanka,5 Bedroom,5,"4,000.00",5,2,220,
Super built-up  Area,Ready To Move,Brooke Bond First Cross,2 BHK,2,"1,252.00",2,2,55,
Plot  Area,Ready To Move,Nagarbhavi,5 Bedroom,5,"1,200.00",4,3,240,
Super built-up  Area,Ready To Move,Sarjapur  Road,5 BHK,5,"3,905.00",7,0,290,
Super built-up  Area,Ready To Move,Kundalahalli Colony,3 BHK,3,"2,600.00",3,2,140,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,3 BHK,3,"1,300.00",3,2,89.13,
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,2,"1,130.00",2,2,73,
Plot  Area,Ready To Move,Budigere,4 Bedroom,4,"1,200.00",3,0,135,
Built-up  Area,Ready To Move,Thanisandra,3 BHK,3,"1,690.00",3,2,125,
Built-up  Area,Ready To Move,Padmanabhanagar,3 Bedroom,3,"4,500.00",4,2,360,
Super built-up  Area,Ready To Move,Tasker Town,2 BHK,2,950.00,2,1,60,
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,2,"1,020.00",2,1,57,
Built-up  Area,19-Dec,"Hoodi Circle, ",4 BHK,4,"2,107.00",4,3,95,
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,3,"1,735.00",3,2,72,
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,915.00,2,2,37,
Super built-up  Area,Ready To Move,Glass Factory Layout,3 BHK,3,"1,450.00",3,3,68,
Super built-up  Area,Ready To Move,Thigalarapalya,3 BHK,3,"2,215.00",4,2,156,
Super built-up  Area,Ready To Move,Raghavendra Nagar,3 BHK,3,"2,431.00",3,1,100,
Super built-up  Area,18-Aug,Hennur Road,3 BHK,3,"1,804.00",3,2,102,
Super built-up  Area,18-Apr,Marathahalli,2 BHK,2,"1,600.00",3,2,88,
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,2,"1,280.00",2,2,75,
Super built-up  Area,19-Dec,Hebbal,3 BHK,3,"1,255.00",3,2,77.68,
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,"1,320.00",2,1,150,
Super built-up  Area,Ready To Move,Hoodi,2 BHK,2,"1,257.00",2,1,69,
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,2 BHK,2,"1,240.00",2,1,53.27,
Plot  Area,Ready To Move,Milk Colony,4 Bedroom,4,"1,200.00",4,2,240,
Plot  Area,Ready To Move,Bannerghatta Road,6 Bedroom,6,"1,850.00",6,3,150,
Super built-up  Area,Ready To Move,Hulimavu,2 BHK,2,"1,255.00",2,3,66,
Super built-up  Area,Ready To Move,Ananth Nagar,2 BHK,2,870.00,2,2,36,
Super built-up  Area,Ready To Move,Tumkur Road,3 BHK,3,"1,789.00",3,2,98,
Plot  Area,Ready To Move,Basaveshwara Nagar,6 Bedroom,6,800.00,6,2,110,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,660.00,1,1,18,
Plot  Area,Ready To Move,"Basnashankari,6th stage,",3 Bedroom,3,600.00,3,1,54,
Super built-up  Area,Ready To Move,Coffee Board Layout,2 BHK,2,"1,155.00",2,3,56,
Super built-up  Area,Ready To Move,R.T. Nagar,2 BHK,2,"1,235.00",2,2,65,
Plot  Area,Ready To Move,Yelahanka,4 Bedroom,4,"2,675.00",4,2,140,
Super built-up  Area,Ready To Move,CV Raman Nagar,2 BHK,2,"1,025.00",2,2,50,
Built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,3,"1,395.00",2,2,72,
Super built-up  Area,Ready To Move,Rachenahalli,3 BHK,3,"1,530.00",2,2,74.4,
Super built-up  Area,Ready To Move,Dodda Nekkundi,3 BHK,3,"1,252.00",2,1,71,
Super built-up  Area,18-Aug,Hennur Road,2 BHK,2,"1,081.00",2,1,30.27,
Super built-up  Area,Ready To Move,Haralur Road,3 BHK,3,"1,255.00",3,1,130,
Super built-up  Area,Ready To Move,Ardendale,4 BHK,4,"2,062.00",3,0,150,
Super built-up  Area,Ready To Move,Choodasandra,3 BHK,3,"1,220.00",3,2,56,
Built-up  Area,Ready To Move,Jigani,3 Bedroom,3,"1,408.00",2,0,55,
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,3,"1,180.00",2,1,60,
Super built-up  Area,Ready To Move,Sarjapur  Road,1 BHK,1,715.00,1,2,29,
Super built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,230.00",2,3,94.5,
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,2,"1,035.00",2,2,45.5,
Super built-up  Area,Ready To Move,EPIP Zone,4 BHK,4,"3,360.00",5,0,225,
Super built-up  Area,Ready To Move,Kathriguppe,3 BHK,3,"1,300.00",3,2,77.99,
Super built-up  Area,21-Feb,Kanakpura Road,3 BHK,3,"1,100.00",3,1,52.97,
Super built-up  Area,Ready To Move,Whitefield,2 BHK,2,"1,216.00",2,1,84,
Super built-up  Area,18-Aug,Shirdi Sai Layout,2 BHK,2,"1,450.00",2,3,62.63,
Super built-up  Area,Ready To Move,Nagavarapalya,1 BHK,1,705.00,1,1,57,
Super built-up  Area,Ready To Move,Gottigere,3 BHK,3,"1,385.00",3,2,64,
Plot  Area,18-May,Anekal,2 Bedroom,2,"1,200.00",2,1,36.1,
Super built-up  Area,18-Jul,Electronic City Phase II,3 BHK,3,"1,310.00",2,1,32.75,
Built-up  Area,Ready To Move,Sarjapur  Road,2 BHK,2,"1,043.00",2,1,39.5,
Super built-up  Area,Ready To Move,Koramangala,2 BHK,2,"1,320.00",2,2,110,
Super built-up  Area,Ready To Move,Near ullas theater,3 BHK,3,"1,900.00",3,2,205,
Super built-up  Area,Ready To Move,Varthur,2 BHK,2,"1,140.00",2,2,39.9,
Built-up  Area,Ready To Move,Kadugodi,2 BHK,2,"1,100.00",2,1,45,
Super built-up  Area,18-Sep,Hebbal,3 BHK,3,"1,586.00",3,2,90,
Super built-up  Area,18-Aug,Chandapura,2 BHK,2,975.00,2,1,24.86,
Built-up  Area,Ready To Move,Amruthnagar,2 BHK,2,"1,365.00",3,2,60,
Super built-up  Area,18-Dec,Rajaji Nagar,2 BHK,2,"1,263.00",2,0,107,
Super built-up  Area,Ready To Move,Begur Road,3 BHK,3,"1,565.00",2,2,59.76,
Plot  Area,Ready To Move,Karuna Nagar,3 Bedroom,3,"1,163.00",3,2,180,
Super built-up  Area,19-Sep,Whitefield,4 BHK,4,"2,882.00",5,1,204,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,"2,320.00",3,2,170,
Built-up  Area,Ready To Move,Sarjapur  Road,3 BHK,3,"1,750.00",3,3,99,
Super built-up  Area,Ready To Move,Kudlu,2 BHK,2,"1,143.00",2,1,55,
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,3,"1,936.00",3,1,118,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,660.00,1,1,15,
Super built-up  Area,Ready To Move,Chandapura,2 BHK,2,700.00,1,1,19,
Super built-up  Area,Ready To Move,Chikkakannalli,3 BHK,3,"1,402.00",2,2,85,
Built-up  Area,Ready To Move,Hebbal,4 BHK,4,"4,640.00",4,2,600,
Super built-up  Area,Ready To Move,Electronic City,2 BHK,2,"1,000.00",2,2,41,
